Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2005,Ryan Claridge,Nevada Las Vegas,OLB,74.00,254,,,,4.78,25,,,,,
2005,Mark Clayton,Oklahoma,WR,70.38,193,9.13,30.63,,4.43,,36.5,117,4.07,,
2005,Jonathan Clinkscale,Wisconsin,OG,74.25,315,10.50,33.38,,5.52,25,27.5,93,,,
2005,DeAndra Cobb,Michigan State,RB,69.75,196,8.88,31.25,,4.53,17,34.0,118,4.25,,
2005,Dan Cody,Oklahoma,DE,77.50,254,,,,4.75,,33.0,121,4.56,7.09,
2005,Shaun Cody,Southern California,DT,76.00,293,10.00,31.13,,4.95,34,30.0,97,4.48,7.80,
2005,Trent Cole,Cincinnati,OLB,74.25,236,,,,4.70,15,38.0,124,4.22,6.98,
2005,Eric Coleman,Clemson,DT,76.88,288,11.13,33.63,,5.15,27,33.0,118,4.71,,
2005,Jerome Collins,Notre Dame,TE,76.25,267,9.38,32.25,,4.73,21,,114,,,
2005,Nick Collins,Bethune-Cookman (FL),CB,71.13,206,8.50,31.00,,4.42,11,40.0,113,4.16,,
2005,Chris Colmer,North Carolina State,OT,77.25,310,,,,5.19,29,29.0,105,4.62,7.58,
2005,Jon Colon,Florida,OT,79.25,317,11.38,34.75,,5.64,,25.5,82,4.89,,
2005,Dustin Colquitt,Tennessee,P,74.38,211,,,,,,,,,,
2005,Dan Connolly,Southeast Missouri State,OT,75.63,311,9.25,32.25,,5.26,22,28.5,102,4.54,,
2005,Sean Considine,Iowa,FS,72.13,212,9.38,31.50,,4.53,19,37.0,116,3.92,,
2005,Atcheson Conway,Bowie State (MD),SS,70.40,219,9.00,29.38,,4.95,14,32.0,108,4.10,,
2005,Roger Cooper,Montana State,OLB,74.38,239,,,,4.75,19,35.5,118,4.33,7.21,
2005,Junius Coston,North Carolina A&T,C,75.38,310,10.38,33.75,,5.34,21,29.5,101,4.56,,
2005,Jonas Crafts,Texas-El Paso,TE,74.88,247,9.50,30.88,,4.89,24,,,,,
2005,Vince Crochunis,Pittsburgh,DT,75.38,295,,,,5.35,,,,,,
2005,Garrett Cross,California,TE,76.38,245,,,,4.85,,35.0,111,4.28,,
2005,Channing Crowder,Florida,ILB,74.25,252,,,,4.71,,35.5,120,4.22,6.60,
2005,Airese Currie,Clemson,WR,70.50,186,8.00,31.50,,4.52,,38.0,125,4.07,,
2005,Markus Curry,Michigan,CB,70.88,181,10.13,30.25,,4.62,12,35.0,113,3.89,,
2005,Tony Curtis,Portland State (OR),TE,77.38,269,9.75,33.00,,4.97,21,,115,,,
2005,Harvey Dahl,Nevada,OT,78.13,299,,,,5.42,17,27.0,99,4.58,,
2005,Travis Daniels,Louisiana State,CB,72.63,194,9.25,30.63,,4.59,,35.0,117,3.97,6.73,
2005,Anthony Davis,Wisconsin,RB,66.63,200,8.63,29.75,,4.53,18,38.0,119,,,
2005,Chauncey Davis,Florida State,DE,73.88,273,9.63,34.50,,4.84,22,37.0,117,4.44,,
2005,Jim Davis,Virginia Tech,DE,75.50,277,10.00,32.50,,5.05,,34.0,108,4.23,,
2005,Josh Davis,Marshall (WV),WR,72.38,191,9.38,32.00,,4.55,,37.5,118,4.22,,
2005,Thomas Davis,Georgia,FS,73.00,230,10.25,32.00,,4.64,,36.5,115,3.97,,
2005,John Denney,Brigham Young,DE,77.50,265,,,,4.98,20,,110,4.28,6.90,
2005,Arrion Dixon,Arkansas,DT,75.63,293,,,,5.20,20,29.0,103,4.68,7.71,
2005,Ben Dougherty,Florida A&M,QB,74.13,222,,,,4.84,,33.0,108,4.34,7.31,
2005,Joel Dreessen,Colorado State,TE,76.25,260,9.25,33.38,,4.77,22,36.0,111,4.01,,
2005,Adell Duckett,Texas Tech,DE,75.38,270,10.00,33.75,,4.96,14,34.5,104,4.35,7.16,
2005,Kevin Dudley,Michigan,FB,72.50,238,9.38,31.13,,4.96,19,30.0,109,4.56,,
2005,Clifford Dukes,Michigan State,DE,75.50,268,9.63,32.50,,4.98,28,31.5,,,,
2005,Jon Dunn,Virginia Tech,OT,79.25,328,11.38,33.75,,5.44,15,,,4.48,7.71,
2005,Braylon Edwards,Michigan,WR,74.88,211,9.88,33.13,,4.45,22,38.0,,4.02,6.83,
2005,Abraham Elimimian,Hawaii,CB,69.63,190,9.13,30.88,,4.68,14,39.0,118,4.05,,
2005,Atiyyah Ellison,Missouri,DT,76.25,305,9.13,33.38,,5.10,25,27.5,99,4.79,,
2005,Ben Emanuel,UCLA,FS,74.75,212,,,,4.57,21,36.0,120,4.52,7.48,
2005,Jamar Enzor,Cincinnati,OLB,72.50,243,10.13,31.75,,4.83,21,,,,,
2005,Trai Essex,Northwestern,OT,76.50,324,10.00,33.00,,5.63,22,29.0,91,4.92,7.66,
2005,Patrick Estes,Virginia,TE,78.38,268,,,,4.83,27,31.0,106,4.51,,
2005,Kevin Everett,Miami (FL),TE,76.63,241,,,,,,,,,,
2005,Liam Ezekiel,Northeastern (MA),ILB,72.13,249,9.25,30.25,,4.83,36,34.5,117,4.12,,
2005,Cole Farden,Oklahoma State,P,70.50,205,,,,,,,,,,
2005,Ciatrick Fason,Florida,RB,72.75,207,,,,4.58,,,,,,
2005,Diamond Ferri,Syracuse,SS,70.13,223,9.25,29.00,,4.64,20,35.5,111,4.14,7.08,
2005,Tony Ficklin,San Jose State,DE,73.88,268,,,,4.73,38,39.0,,,,
2005,Ronald Fields,Mississippi State,DT,74.38,313,10.88,32.13,,5.16,22,27.0,100,4.68,,
2005,Alfred Fincher,Connecticut,ILB,73.38,238,,,,4.68,25,31.5,112,4.48,,
2005,Adam Finley,Michigan,P,75.63,221,,,,,,,,,,
2005,Ryan Fitzpatrick,Harvard,QB,74.38,232,10.75,31.13,48,4.87,,30.5,103,4.07,,
2005,Therrian Fontenot,Frenso State (CA),CB,70.88,187,,,,4.42,24,35.5,121,4.09,6.96,
2005,Dustin Fox,Ohio State,FS,70.88,191,,,,4.43,7,43.5,,,,
2005,Domonique Foxworth,Maryland,CB,71.13,184,9.13,30.00,,4.39,14,41.0,125,3.89,,
2005,Aaron Francisco,Brigham Young,FS,73.88,211,9.63,31.63,,4.76,17,35.0,110,4.07,,
2005,Simon Fraser,Ohio State,DE,77.63,288,9.50,33.25,,5.05,23,28.0,102,4.43,,
2005,Andre Frazier,Cincinnati,DE,76.63,234,9.38,34.50,,4.72,19,38.0,123,4.12,,
2005,Charles Frederick,Washington,WR,70.75,194,,,,4.78,,33.0,108,4.25,7.30,
2005,Charlie Frye,Akron,QB,75.88,225,8.88,31.13,38,4.85,,33.0,109,4.08,,
