espn_id,name,position,season,college_team,stat_category,receptions,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,rushingTouchdowns,longRushing,completions,passingAttempts,completionPct,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,longPassing,sacks,QBRating
4361307,Trey McBride,TE,2020,colorado-state-rams,receiving,22,330,15.0,4,38,,,,,,,,,,,,,,,
4361307,Trey McBride,TE,2021,colorado-state-rams,receiving,90,"1,121",12.5,1,50,,,,,,,,,,,,,,,
4361307,Trey McBride,TE,2018,colorado-state-rams,rushing,,,,,,2,3,1.5,0,2,,,,,,,,,,
4361307,Trey McBride,TE,2021,colorado-state-rams,rushing,,,,,,1,69,69.0,1,69,,,,,,,,,,
4875912,Tejhaun Palmer,WR,2021,uab-blazers,receiving,6,72,12.0,0,18,,,,,,,,,,,,,,,
4875912,Tejhaun Palmer,WR,2022,uab-blazers,receiving,30,479,16.0,2,75,,,,,,,,,,,,,,,
4875912,Tejhaun Palmer,WR,2023,uab-blazers,receiving,47,858,18.3,7,80,,,,,,,,,,,,,,,
4428512,Kedon Slovis,QB,2019,usc-trojans,passing,,,,,,,,,,,282,392,71.9,"3,502",8.9,30,9,95,23,167.6
4428512,Kedon Slovis,QB,2020,usc-trojans,passing,,,,,,,,,,,177,264,67.0,"1,921",7.3,17,7,65,15,144.1
4428512,Kedon Slovis,QB,2021,usc-trojans,passing,,,,,,,,,,,193,297,65.0,"2,153",7.2,11,8,62,12,132.7
4428512,Kedon Slovis,QB,2022,pittsburgh-panthers,passing,,,,,,,,,,,184,315,58.4,"2,397",7.6,10,9,66,15,127.1
4428512,Kedon Slovis,QB,2023,byu-cougars,passing,,,,,,,,,,,153,266,57.5,"1,716",6.5,12,6,65,12,122.1
4428512,Kedon Slovis,QB,2019,usc-trojans,rushing,,,,,,45,-57,-1.3,0,9,,,,,,,,,,
4428512,Kedon Slovis,QB,2020,usc-trojans,rushing,,,,,,23,-57,-2.5,0,24,,,,,,,,,,
4428512,Kedon Slovis,QB,2021,usc-trojans,rushing,,,,,,26,-36,-1.4,0,11,,,,,,,,,,
4428512,Kedon Slovis,QB,2022,pittsburgh-panthers,rushing,,,,,,25,-68,-2.7,0,14,,,,,,,,,,
4428512,Kedon Slovis,QB,2023,byu-cougars,rushing,,,,,,29,-41,-1.4,3,21,,,,,,,,,,
4428512,Kedon Slovis,QB,2023,byu-cougars,receiving,1,2,2.0,0,2,,,,,,,,,,,,,,,
